title, company, technical_skill, image_url, job_url
"Frontend Developer (ReactJS, Typescript)",Renesas Electronics,"['Mid', 'Container', 'Next.js', 'CI', 'Modular', 'SCSS', 'Webpack', 'Typescript', 'Node.js', 'React']",https://nodeflair.com/api/v2/companies/715.png,https://nodeflair.com/jobs/renesas-electronics-frontend-developer-reactjs-typescript-193759?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Data Scientist – ALM,VPBank,"['Senior', 'R', 'SQL', 'Python']",https://nodeflair.com/api/v2/companies/9859.png,https://nodeflair.com/jobs/vpbank-senior-data-scientist-alm-193758?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,qode.world,"['Junior', 'AWS', 'C++', 'Analytics', 'Storm', 'Aurora', 'BigQuery', 'Java', 'Spark', 'kafka', 'SQL', 'Scala', 'Hadoop', 'Python']",https://nodeflair.com/api/v2/companies/22132.png,https://nodeflair.com/jobs/qode-world-data-engineer-193757?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Software Engineer - Data,qode.world,"['Senior', 'Strategy', 'MySQL', 'Python']",https://nodeflair.com/api/v2/companies/22132.png,https://nodeflair.com/jobs/qode-world-senior-software-engineer-data-193756?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Scientist - Lending Model,Aboitiz Data Innovation,"['Mid', 'Docker', 'OOP', 'Git', 'Spark', 'SQL', 'Python']",https://nodeflair.com/api/v2/companies/6176.png,https://nodeflair.com/jobs/aboitiz-data-innovation-data-scientist-lending-model-193755?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer (SQL required),ELCA Group,"['Mid', 'Oracle', 'SSRS', 'SSIS', 'SQL']",https://nodeflair.com/api/v2/companies/14832.png,https://nodeflair.com/jobs/elca-group-data-engineer-sql-required-193754?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Backend Engineer (.NET),PropertyGuru,"['Senior', 'MVC', 'Docker', 'Go', 'AngularJS', 'CI', 'WCF', 'OOP', 'MSSQL', 'HTML', 'Asp.net', 'JavaScript', 'SQL', 'C#', 'jQuery', '.NET', 'PostgreSQL', 'Cassandra', 'MySQL', 'MongoDB', 'CSS']",https://nodeflair.com/api/v2/companies/242.png,https://nodeflair.com/jobs/propertyguru-senior-backend-engineer-net-193753?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
DevOps Engineer,Stor.ai,"['Mid', 'Junior', 'Terraform', 'Docker', 'Jenkins', 'Factory', 'ArgoCD', 'CI', 'ELK', 'Shell', 'Chef', 'Puppet', 'Azure', 'MSSQL', 'Grafana', 'Linux', 'Kubernetes', 'Ansible', 'Python']",https://nodeflair.com/api/v2/companies/22361.png,https://nodeflair.com/jobs/stor-ai-devops-engineer-193752?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mobile Application Developer (ReactNative),Stor.ai,"['Mid', 'Drupal', 'Analytics', 'Firebase', 'MSSQL', 'React Native', 'iOS', 'Angular', 'Android', 'SQL', 'Node.js', 'React']",https://nodeflair.com/api/v2/companies/22361.png,https://nodeflair.com/jobs/stor-ai-mobile-application-developer-reactnative-193751?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Engineer - Design Implementation Focus,ScenTronix,"['Mid', 'Next.js', 'API', 'play', 'MUI', 'NoSQL', 'Typescript', 'JavaScript', 'Node.js', 'MySQL', 'React']",https://nodeflair.com/api/v2/companies/21266.png,https://nodeflair.com/jobs/scentronix-full-stack-engineer-design-implementation-focus-193750?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full-stack Developer (JavaScript ),BraveBits,"['Mid', 'Go', 'Git', 'HTML', 'Linux', 'JavaScript', 'React', 'CSS']",https://nodeflair.com/api/v2/companies/22155.png,https://nodeflair.com/jobs/bravebits-full-stack-developer-javascript-193749?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
