job_title, company_name, requirement, salary, location, image_link, job_url
Lập Trình Viên (Developer) - Zalo,Công ty TNHH Phân Phối Trực Tuyến Nhất Nhất,"['Tốt nghiệp Cao đẳng trở lên các ngành Công nghệ thông tin, Khoa học máy tính...\nCó kinh nghiệm làm việc với các hệ quản trị dữ liệu: MySQL, PostgreSQL, MongoDB...\nCó kỹ năng lập trình tốt với các ngôn ngữ như PHP, Java...\nKỹ năng làm việc nhóm và làm việc độc lập\nKiến thức về Front-End: HTML, CSS, Javascript, Jquery, NodeJS, ReactJS...']",Thoả thuận,"- Hà Nội: Tầng 8, Tòa nhà Đồng Lợi, số 2 ngõ 1160 đường Láng, phường Láng Thượng, Đống Đa",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/vPdZ7qIqzQZbqzfZbIQ7iWLxWw6txd54_1697185651____c29578fd249bf18c6a9d40f844a93894.png,https://www.topcv.vn/viec-lam/lap-trinh-vien-developer-zalo/1295219.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
"Front-End Developer , Lương Từ 25-50 Triệu ( Yêu Cầu Từ 4 Năm Kinh Nghiệm)",TNHH APPTIFACT,"[""At least 4 years of experience in web development, with a strong emphasis on React.js projects.\nBachelor's degree in Computer Science, Information Technology, or related fields.\nProficiency in React.js, including a thorough understanding of web development best practices, lifecycle management, state management with Redux or similar libraries, and component creation.\nBasic communication skills in English for effective teamwork.\nExperience with Git, CI/CD practices, and modern front-end build pipelines and tools.\nAbility to manage third-party dependencies and debug conflicts.\nUnderstanding of RESTful APIs for integration with back-end services.\nFamiliarity with Jira and Agile project management.\nStrong problem-solving abilities in a fast-paced, team-oriented environment.\nExperience with Next.js or Nuxt.js frameworks is preferred.\nCandidates with extensive experience in other front-end languages or frameworks like Vue.js, jQuery, and Angular are highly desirable.\nPreference for candidates with experience in Material-UI (MUI), enhancing the design and usability of web applications with this popular React UI framework.""]",25 - 50 triệu,"- Hồ Chí Minh: Tòa Sarina Block A, Đường B2, Phường An Lợi Đông, Q2, Thành phố Hồ Chí Minh, Quận 2",https://www.topcv.vn/v4/image/normal-company/logo_default.png,https://www.topcv.vn/viec-lam/front-end-developer-luong-tu-25-50-trieu-yeu-cau-tu-4-nam-kinh-nghiem/1292212.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Front-End Developer 3 Năm Kinh Nghiệm (Lương Từ 20-30 Triệu),CÔNG TY TNHH TIMIND,"[""Bachelor's Degree (or above) in IT or related fields, with a preference for candidates from top-tier universities\nAt least 3+ years hands-on experience in below languages, frameworks and libraries:\nNextJS, ReactJS or VueJS\nJavascript & Typescript (>= ES6)\nHTML, CSS3, Bootstrap/Tailwind CSS\nRESTful API\nFamiliar with:\nWebpack, Eslint\nYarn, Npm/Pnpm\nFigma/ Zeplin\nDocker\nGit (Github / Gitlab)\nPostman\nStrong knowledge of CSS and CSS framework (Bootstrap, ElementUI,...), experience in transforming Figma designs into reusable web components\nFamiliarity with RESTful APIs and asynchronous programming\nGood UI/UX mindset""]",20 - 30 triệu,- Hà Nội,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-timind-641d84b3b6fad.jpg,https://www.topcv.vn/viec-lam/front-end-developer-3-nam-kinh-nghiem-luong-tu-20-30-trieu/1302030.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Lập Trình Game - Unity Developer (Thực Tập Sinh/Fresher) - Thu Nhập Upto 10 Triệu - Đi Làm Ngay Tại Hà Nội,Công ty Cổ phần Công nghệ và Sáng tạo Rocket,"['Fresher yêu cầu tối thiểu 6 tháng kinh nghiệm.\nCó kỹ năng sử dụng Unity (Có sản phẩm game cá nhân làm bằng Unity là một lợi thế)\nHiểu biết về logic, cấu trúc dữ liệu, thuật toán, design pattern.\nCó background tốt về toán học, các chuyên ngành khoa học tự nhiên.\nYêu thích game và định hướng phát triển rõ ràng trong ngành.\nNăng động, nhiệt huyết sáng tạo phát triển game.\nCó tinh thần tự giác, cầu tiến, ham học hỏi.']",Tới 12 triệu,"- Hà Nội: Tầng 8, toà Gold Tower, 275 Nguyễn Trãi, quận Thanh Xuân, Thanh Xuân",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/u1hG8YQHzODPwxTJy2TDBf09NqeploCl_1664952814____119b3fe3501c7fad2e3736c4669e4057.jpg,https://www.topcv.vn/viec-lam/lap-trinh-game-unity-developer-thuc-tap-sinh-fresher-thu-nhap-upto-10-trieu-di-lam-ngay-tai-ha-noi/1291097.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Game Developer (Cocos/ Unity) - Lương Upto 35 Triệu,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,"['Experience in developing mobile games preferred\nExperience in Javascript and Typescript\nExperienced in Cocos Creator/ Unity\nEager to learn, good thinking and especially like to play games\nHave good thoughts at the user interface and user experience']",Tới 35 triệu,"- Hà Nội: 18/11 Thái Hà, Đống Đa",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/498IvFMDo2L60nGzXP3a0Y75xxrC3S4g_1653639891____c1dbad37e1ff62ce9f069436a1dbbdf4.png,https://www.topcv.vn/viec-lam/game-developer-cocos-unity-luong-upto-35-trieu/1300065.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Backend Developer,Woo Technology,"['Must have:\nAt least 2-3 years of experience working with PHP & MySQL.\nGood understanding at least one of the following frameworks|cms|platform: Laravel, Wordpress, Shopify.\nGood to have:\n1-2 years working experiences on Wordpress, Shopify.\nExperienced with building e-commerce websites or landing pages using wordpress.\nAbility to work on multiple projects.\nEnglish: basic']",15 - 25 triệu,- Hà Nội: Cầu Giấy,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/hApKlsLK6yEwjXIG8EFov3qpivKnI8Q9_1666667020____1404507d68a3f102e63dbd7b99cfd1d5.jpg,https://www.topcv.vn/viec-lam/backend-developer/1297413.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Senior .NET Developer (Thu Nhập Từ 30 Triệu),CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,"['● Có từ 5 năm kinh nghiệm làm việc chuyên sâu với ngôn ngữ .NET, bao gồm cả C# và ASP.NET.\n● Có kiến thức vững về các nguyên tắc OOP và thiết kế phần mềm.\n● Hiểu biết sâu về cấu trúc MVC (Model-View-Controller) và các nguyên tắc lập trình theo mô hình này.\n● Có kiến thức vững về HTML, CSS, và JavaScript để có khả năng làm việc hiệu quả với designer và frontend developer.\n● Có kiến thức tốt về cơ sở dữ liệu quan hệ như MSSQL, Mysql.\n● Có kinh nghiệm làm việc với Nodejs là một lợi thế lớn\n● Kinh nghiệm làm việc với các dự án phần mềm lớn và phức tạp.\n● Có hiểu biết vững về phát triển ứng dụng web và các cơ sở dữ liệu liên quan.\n● Có kiến thức về các framework frontend như ReactJS, VueJS, Svelte... là một lợi thế.\n● Kỹ năng tốt về viết mã sạch, dễ đọc và dễ bảo trì.\n● Kỹ năng tốt về tương tác và giao tiếp\n● Có khả năng học tập ngôn ngữ mới trong thời gian ngắn\n● Kỹ năng làm việc độc lập cao và khả năng giải quyết vấn đề tốt.']",Trên 30 triệu,"- Hà Nội: Tầng 2, toà nhà 229 Tây Sơn, Đống Đa",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tap-doan-thien-khoi-339e7097344c357061741612aca80a49-65e7e505037d3.jpg,https://www.topcv.vn/viec-lam/senior-net-developer-thu-nhap-tu-30-trieu/1296000.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
QA Manual Developer (Senior),DigiEx Group,"[""Your Skills and Experience (Kỹ năng và kinh nghiệm của bạn)\n2-4 years of experience in software quality assurance (QA) or quality control (QC)\n(2-4 năm kinh nghiệm trong lĩnh vực đảm bảo chất lượng phần mềm (QA) hoặc kiểm soát chất lượng (QC))\nStrong knowledge of software testing methodologies and procedures\n(Kiến thức vững chắc về các phương pháp và quy trình kiểm thử phần mềm)\nExperience with manual and automated testing tools and technologies.\n(Kinh nghiệm với các công cụ và công nghệ kiểm tra thủ công và tự động)\nFamiliarity with software development methodologies (e.g. Agile, Scrum)\n(Làm quen với các phương pháp phát triển phần mềm (ví dụ: Agile, Scrum))\nKnowledge of SQL and database technologies\n(Kiến thức về SQL và công nghệ cơ sở dữ liệu)\nStrong analytical and problem-solving skills\n(Kỹ năng phân tích và giải quyết vấn đề tốt)\nExcellent verbal and written communication skills\n(Kỹ năng giao tiếp bằng lời nói và văn bản xuất sắc)\nBachelor's degree (or higher) in Computer Science, Software Engineering, or related field\n(Bằng cử nhân (hoặc cao hơn) về Khoa học Máy tính, Kỹ thuật phần mềm hoặc lĩnh vực liên quan)""]",Thoả thuận,"- Hồ Chí Minh: QTSC 1 Building, khu phần mềm Quang Trung, Quận 12",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/NnHkGxDp79SZy202EQ3049lYOudYtbgv_1655183749____77f2eb81a133f5c627a826a7167e3998.png,https://www.topcv.vn/viec-lam/qa-manual-developer-senior/1207925.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Lập Trình Golang (Golang Developer ),CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ INET,"['• Có tối thiểu 1 năm kinh nghiệm làm việc với ngôn ngữ Golang.\n• Thao tác với các cơ sở dữ liệu quan hệ, đặc biệt là MySQL.\n• Có kinh nghiệm về triển khai các ứng dụng thông qua API.\n• Có khả năng tìm hiểu công nghệ mới và khắc phục sự cố.\n• Sử dụng các công nghệ như Kafka, Elasticsearch, Redis .v.v. là một lợi thế.\n• Đã từng làm sản phẩm về giáo dục là một lợi thế.\n• Biết thao tác với server (linux) và CI/CD là một lợi thế.\n• Có kinh nghiệm, hiểu biết về các chuẩn như Microservices, Oauth, SCORM, ... là một lợi thế.\n• Tốt nghiệp Đại học/Cao đẳng chuyên ngành Công nghệ thông tin hoặc tương đương.']",15 - 35 triệu,"- Hà Nội: Số 247 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/525c368969be08fc400caf9f38108186-64ddf020443a3.jpg,https://www.topcv.vn/viec-lam/lap-trinh-golang-golang-developer/1291812.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
"Giảng Viên Lập Trình, Thu Nhập Từ 15-25 Triệu, Nhận Việc Ngay",CÔNG TY CỔ PHẦN TAGSOLUTION,"['- Trình độ IELTS: 7.0\n- Tốt nghiệp các trường Chuyên ngành Khoa học máy tính.\n- Ưu tiên đã có ít nhất 1 năm làm lập trình viên hoặc giảng dạy một trong các ngôn ngữ lập trình\n- Có kĩ năng giao tiếp tốt (đối với học sinh và đồng nghiệp)\n- Có niềm yêu thích khi làm việc cùng trẻ em.\n- Đam mê với Công nghệ, khuyến khích có sẵn nền tảng về Khoa học Máy tính.']",15 - 25 triệu,"- Hồ Chí Minh: P7-28.OT08 Tòa Park 7 Vinhomes Central Park, Số 720A Đường Điện Biên Phủ, Phường 22, Bình Thạnh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/0a55e95552881315fc2bfc264fd1f5c0-6486a00fa26ec.jpg,https://www.topcv.vn/viec-lam/giang-vien-lap-trinh-thu-nhap-tu-15-25-trieu-nhan-viec-ngay/1294365.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
