,Title,Company_name,Location,Contract_type,Requirement,Salary,Technical_skills,Link_image,URL
0,Partner Engagement Manager,"Niteco Vietnam Co., Ltd","156 Ngõ Xã Đàn 2, Nam Đồng, Đống Đa, Hà Nội, Việt Nam",Full-time,"Job description The main responsibilities and duties of the Partner Engagement Manager include: • Forge and expand strategic partnerships with leading technology platforms such as Optimizely, Contentful, Adobe, Umbraco, Microsoft, AWS, Google, Commerce Tools, and Vercel.  • Develop and execute collaborative go-to-market strategies to foster lead generation and amplify business growth.  • Plan and manage joint marketing initiatives, webinars, and educational sessions with partners.  • Create a detailed partner engagement roadmap with clear activities, milestones, and performance metrics.  • Coordinate with sales, marketing, and product teams to align on partnership strategies and lead generation efforts.  • Ensure compliance with partner programs and lead our staff to achieve and surpass certification requirements.  • Relay partner feedback to internal teams to refine products and services.  • Remain informed on industry trends and developments to guide strategic planning.Job requirements • Bachelor's degree in Business, Marketing, Communications, or related field.  • Over 3 years of experience in partner management or business development within the digital agency ecosystem.  • Proven experience working with mentioned technology brands.  • Comprehensive understanding of the digital technology landscape.  • Exceptional communication, negotiation, and presentation skills in English.  • Ability to work collaboratively across functions.  • Strategic thinker with a focus on growth and efficiency.  • Willingness to travel for business needs.",Negotiable,"SKILLPartnership Management, Engagement Management, Partnership Development, English, Communication Leadership",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fc0%2F11125894.png&w=256&q=75,https://www.vietnamworks.com/partner-engagement-manager-1760690-jd?source=searchResults&searchType=2&placement=1760690&sortBy=date
1,Senior Business Intelligence Specialist,Công Ty TNHH LEGO Manufacturing Việt Nam,"LEGO Manufacturing Vietnam, No.1 Road no.3, VSIP III, Hoi Nghia, Tan Uyen, Binh Duong, Vietnam
Temporary Working Office - Deutsches Haus, 33 Le Duan, Ben Nghe, District 1, HCMC, Vietnam
Dong Nai, Vietnam",Full-time,"Job description The Business Intelligence Manufacturing Team governs and improves all Business Intelligence & Analytics in Manufacturing areas – production, maintenance, logistics - thereby leveraging digitalization while sustaining operational momentum and taking part in creating the organization of the future.   Within the BI Manufacturing Team, we are looking for an expert to support our world-class moulding operations globally and participate in various analytics projects.  In Moulding Operations, we are continuously improving the way we gather and manage our collected data globally year by year. This requires an increased level of support from Business Intelligence team to make sure that we can translate the collected data into actionable information.  * This role will be working temporarily at LEGO temporary office in District 1, HCMC (shuttle bus is provided from Bien Hoa, Binh Duong to the office) with frequent travel to factory site; and be relocated to Binh Duong in the end of 2024 or when the job requires.  * We think it’s important that you’re in control of your data and as part of the recruitment process; Your direct application at the LEGO Careers Website will be prioritized. Please copy and paste the following URL into your browser: https://bit.ly/3TN81JL for your application.  Core Responsibilities:  • Design our information flows and data tracking to stay efficient and transparent • Ensure that the business process changes are always kept supported with up-to-date BI solutions.  • Ensure global implementation of standard BI solutions in Manufacturing • Build Business Intelligence competences in the business • Ensure strong Change Management in an area that affects all employees in Manufacturing • Design and build reports to support manufacturing operations • Map and analyze business processes and then identify improvement areas that can be supported by Business Intelligence tools • Transform collected data into actionable information for Manufacturing Operations • Supervise the development lifecycle for Business Intelligence related developments • Support to Manufacturing Operations in capability building • Liaise between IT development teams and Manufacturing Operations globally • Manage Business Warehouse issues and Change Requests • Govern the report and data lifecycle • Drive & support BI and analytics projects locally (e.g. efficiency improvements in Manufacturing areas) • Introduce global best practices locally  Play your part in our team succeeding!  • Playing an important role in designing the next generation of information systems • Global responsibility for reporting that affects 10000+ employees. • Using Business Intelligence for reporting, all the way from live data on the shop floor to business-critical capacity decision making • Collaborating with the other BI Specialists, participating in and coordinating on-site/global projects",Negotiable,"SKILLMicrosoft Power BI, Business Intelligence, BI Dashboard, SAP Database, Data Processing",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fcb%2F11133899.png&w=256&q=75,https://www.vietnamworks.com/senior-business-intelligence-specialist--1760686-jd?source=searchResults&searchType=2&placement=1760686&sortBy=date
2,Software Support Engineer – Microsoft CRM & ERP,"Tek Experts Co., Ltd","Hà Nội, Việt Nam",Full-time,"Job description Tek Experts là sự kết hợp hoàn hảo giữa con người và công nghệ. Tek Experts cung cấp dịch vụ IT Outsourcing đồng thời hỗ trợ các tập đoàn trên thế giới trong các khâu thiết yếu của hoạt động kinh doanh.   Là đối tác chính thức của Microsoft tại Việt Nam, Tek Experts đang tìm kiếm Technical Support Engineer - Kỹ sư Hỗ trợ Phần mềm cho các sản phẩm Microsoft Dynamics. Bạn sẽ có cơ hội phát triển trong một môi trường có nhịp độ công việc nhanh và đầy thách thức, nơi mọi người đều được trao quyền và cam kết mang lại trải nghiệm khách hàng tốt nhất.   Đến với Tek Experts, các bạn sẽ có cơ hội tiếp cận, học hỏi và làm chủ các công nghệ hàng đầu như: Dynamics CE/CRM, Azure, Windows Server, SQL,...  Tại vị trí này: - Bạn sẽ đóng vai trò là đầu mối kỹ thuật chính, cung cấp các giải pháp hỗ trợ các khách hàng doanh nghiệp và đối tác nước ngoài, nhằm khắc phục sự cố kỹ thuật liên quan tới các sản phẩm phần mềm của Microsoft Dynamics CRM và Dynamics ERP - Phối hợp với các chuyên gia chủ đề và trưởng nhóm kỹ thuật khi cần  - Duy trì tài liệu của các case bao gồm các các bước quy trình và các giải pháp",Negotiable,"SKILLGiải Pháp Kỹ Thuật, CRM Platform, ERP Support, Technical Support, Dynamics 365",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F63%2F11126615.png&w=256&q=75,https://www.vietnamworks.com/software-support-engineer-microsoft-crm-erp--1759894-jd?source=searchResults&searchType=2&placement=1759894&sortBy=date
3,Senior Full Stack Software Developer MES Domain,"Bosch Vietnam Co., Ltd In Dong Nai","Dong Nai, Vietnam
Binh Duong
Ho Chi Minh",Full-time,"Job description If you would like to apply for this job, please copy and paste the following URL into your browser: https://tiny.pl/cz24z. The direct applications via that link will be prioritized.   Job Description  1. Provide Internal Software Development Service for plant * Provide technical consultancy & solution for Software Development and MÉ System. * Develop applications for HcP internal customers. * Manage software development projects. 2. Sustain excellent operation of responsible applications as per Service Level Agreement especially for HcP MES * Ensure internal application operation, covering incident & problem management, change management, etc. * Enhance & expand features of responsible applications as per business need. * Ensure 24x7 excellent operation for HcP MES 3. Other tasks assigned by manage",Negotiable,"SKILLFull Stack Development, Back-end Programming, MES",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F35%2F11125548.png&w=256&q=75,https://www.vietnamworks.com/senior-full-stack-software-developer-mes-domain--1758919-jd?source=searchResults&searchType=2&placement=1758919&sortBy=date
4,Automotive Tester - Bonus Up to 40M (English/japanese),FPT Software,"FPT Complex Đà Nẵng, Đường Nam Kỳ Khởi Nghĩa, Khu đô thị FPT City, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Full-time,"Job description • We are in search of an exceptionally skilled leader for our Offshore Development Center (ODC), tasked with overseeing the operations of a center with over 100 team members, specializing in the Automotive industry for the Japanese market.  Responsibilities • Analyze business requirements. • Study test cases. • Execute test, log bug and create test report. • Communicate with dev to verify the bug. • Communicate testing timelines to the QA Test Manager or Test Lead.Job requirements • Over 1 year experience in executing automotive testing with Cluster module. • Have knowledge about technique of making TCs. • Strong SRS reading comprehension skills. • Strong logical thinking skills. • Strong written and verbal communications skills. • Experience working on different development lifecycle. • Strong problem-solving skills. • Strong quality orientation.  Benefits  • Be part of our hugely international environment; we are currently working for U.S/Global/Japanese projects, where you can have many opportunities to working oversea. • Competitive salary package based on skills and experience. • Signing bonus: 20M – 30M – 40M. • We create great teams and take very good care of them. • Great opportunity to grow with the company. • Frequent staff activities and company parties. • Awesome social events and parties for employees. • 20% discount on school fee if your sons/ daughters join FPT School. • Udemy accounts for every employee & Udacity accounts for Managers.  Special offer for senior level: • Relocating package: Up to 100M (for senior candidates from Hanoi/HCM.C to Danang City); Or • A slot to buy FPT Plaza 2 high-class apartment at promotion price (~23.5M/m2); Or • Loan support: 4% interest rate (1 – 2 Billion VND package).",Negotiable,"SKILLSRS, Logical Thinking, Automotive, Testing, Test Cases",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F14%2F11129135.png&w=256&q=75,https://www.vietnamworks.com/automotive-tester-bonus-up-to-40m-english-japanese-1749834-jd?source=searchResults&searchType=2&placement=1749834&sortBy=date
5,Web Developer,"Panasonic Vietnam Co.,ltd","13th Floor, Charmvit Tower, 117 Tran Duy Hung, Cau Giay, Ha Noi",Full-time,"Job description The jobholder will perform tasks relating web development. Job is described as below: - Provide first level support to factories/sales company in issue resolutions & system requests. - Maintain & enhance company’s web solutions. - Work with vendors to build & deploy new solutions to the server. - Work with business analysts to translate the business requirements into solutions. - Ability to work both independently and in a team-oriented, collaborative environment. - Ability to effectively prioritize and manage multiple tasks to meet aggressive deadlines.Job requirements - 3+ years programming experience in back-end development, especially C#/ ASP.NET MVC/ .NET Core - Have a very strong RDMBS database knowledge especially SQL Server. - Create unit tests for development code. - Good knowledge of object-oriented design and design patterns. - Good knowledge of HTML5/CSS3/JavaScript. - Strong background with responsive design using Bootstrap 5. - Proactive, ability to analyze and solve problems. - Be able to communicate well in English.",Negotiable,"SKILLC#, .Net Core, ASP.NET MVC, SQL Server 2008, HTML5 Banner",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fa4%2F11221976.png&w=256&q=75,https://www.vietnamworks.com/web-developer--1766126-jd?source=searchResults&searchType=2&placement=1766126&sortBy=date
6,Warranty and Service Data Analyst,"SVP Vietnam Co.,Ltd","Hải Dương, Hai Duong, Vietnam
Hưng Yên, Việt Nam
Bắc Ninh, Vietnam",Full-time,"Job description Job Title: Warranty and Service Data Analyst Department: QC Global Reports To: Director, Global Warranty, Service and Parts FLSA Status: Exempt   ABOUT THE POSITION: The Warranty and Service Data Analyst is responsible for analyzing data from warranty registrations and claims, and has the responsibility to improve customer satisfaction by providing data that will help reduce warranty occurrence and expense. This position utilizes the warranty and service data management systems to understand trends and track corrective actions, and monitor gains through performance metrics. The Warranty and Service Data Analyst reports on warranty reduction initiatives and performance metrics and submits to Warranty and Service leadership.   POSITION SUMMARY: The Warranty and Service Data Analyst reports to the Director of Warranty, Service and Parts. This role will work with Warranty and Service teammates globally in order to drive improvement of our global warranty and service data collection systems and support global standardization efforts of systems and data.",Negotiable,"SKILLData Analysis, Product Warranty, English, Reporting, Phân Tích Dữ Liệu",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F7c%2F11136974.png&w=256&q=75,https://www.vietnamworks.com/warranty-and-service-data-analyst-1767735-jd?source=searchResults&searchType=2&placement=1767735&sortBy=date
7,Summer Internship 2024,FWD Vietnam Life Insurance Company Limited,"Diamond Plaza Building, 34 Le Duan St., Dist. 1, HCMC",Full-time,"Job description FWD SUMMER INTERNSHIP 2024 #TimetoXperience  About FWD Vietnam  FWD Group is a pan-Asian life insurance business with more than 13 million customers across 10 markets, including some of the fastest-growing insurance markets in the world. The company was established in 2013 and is focused on changing the way people feel about insurance. FWD’s customer-led and digitally enabled approach aims to deliver innovative propositions, easy-to-understand products and a simpler insurance experience.  FWD Vietnam was established in 2016 and is a member of FWD Group.  For more information, please visit www.fwd.com.vn  About the Program:  The FWD Summer Internship Program offers students and fresh-graduates from all majors an exciting and differentiated experience with FWD Vietnam. The program will also equip you with necessary knowledge and skills in corporate world that will support your career success in the future.  We welcome you as a full-time contributor and an important part of the team where you will: • Have an opportunity to support in the development of ideas, projects and strategies for the company to pursue the vision of changing the way people feel about insurance. • Collaborate with team members and stakeholders on how to improve processes and maximize our efficiency. • Get an inside view of what we do, why we do, and the people that make FWD a great place to work.  We are open opportunities in following functions: Agency, Bancassurance, Independent Financial Advisor & Digital Commerce, Finance, Information Technology & Operations, Human Resources, Marketing, Governance (including Legal, Compliance & Risk Management).  Recruitment Process: • Application (15/04/2024 - 14/05/2024) • HR & Functional Interview • Onboarding  It’s time to experience! Let’s join us on an exciting and differentiated journey of changing the way people feel about insurance!  Explore more about the program via this link: https://tinyurl.com/FWDSummerInternship24",Negotiable,"SKILLData Analysis, Interpersonal Skill, Customer Service Mindset, Finance, Information Technology",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd4%2F11027983.png&w=256&q=75,https://www.vietnamworks.com/summer-internship-2024-1766120-jd?source=searchResults&searchType=2&placement=1766120&sortBy=date
8,Trưởng Phòng Quản Lý Hạ Tầng CNTT - IT Tập Đoàn,Stavian Group,"Tòa Century Tower, KĐT, 458 P. Minh Khai, Khu đô thị Times City, Hai Bà Trưng, Hà Nội",Full-time,"Job description Stavian Group là một Tập đoàn công nghiệp đa quốc gia, quy mô lớn với nhiều lĩnh vực hoạt động như Công nghiệp Hóa chất, Hóa dầu, hóa chất; Công nghiệp Vật liệu công nghệ cao, Công nghiệp Giấy, Công nghiệp Tái chế & Kinh tế tuần hoàn, Logistics, Phát triển Khu công nghiệp, Đầu tư Khởi nghiệp Cách mạng Công nghiệp 4.0, Kim loại công nghiệp … thị trường của Stavian Group đã trải dài trên hơn 100 quốc gia và vùng lãnh thổ với hơn 14.000 khách hàng, đối tác toàn cầu. Tập đoàn vận hành hơn 30 văn phòng đại diện tại nước ngoài cùng với gần 2.000 nhân sự trong nước và quốc tế, doanh thu năm 2021 đạt khoảng 2 tỷ USD.   Doanh nghiệp uy tín, xếp hạng Top 22 nhà phân phối hóa chất lớn nhất thế giới và Top 6 nhà phân phối hóa chất lớn nhất khu vực Châu Á – Thái Bình Dương (theo báo cáo ICIS 2021)   Tập đoàn Stavian vinh dự được bình chọn đứng đầu TOP 10 Thương hiệu Mạnh ngành Công nghiệp Chế biến – Chế tạo năm 2022 và vinh dự xếp hạng thứ 23 trong Top 500 Doanh nghiệp tư nhân lớn nhất Việt Nam (theo báo cáo VNR500);",$1500 - $2000,SKILLHạ Tầng Công Nghệ,https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd9%2F11158887.png&w=256&q=75,https://www.vietnamworks.com/truong-phong-quan-ly-ha-tang-cntt-it-tap-doan-1768526-jd?source=searchResults&searchType=2&placement=1768526&sortBy=date
9,IT Helpdesk (Mới Ra Trường - Tiếng Anh Tốt),Netnam Corp.,"Floor 3-4, 10A Nguyen Thi Minh Khai Street, Da Kao Ward, District 1, HCMC",Full-time,"Job description - Triển khai dịch vụ và hệ thống cho khách hàng theo giải pháp được đưa ra từ phòng Tư vấn giải pháp; - Tiếp nhận và hỗ trợ xử lý các vấn đề về kỹ thuật, các sự cố xảy ra trong quá trình khách hàng sử dụng dịch vụ của NetNam; - Các yêu cầu khác từ trưởng bộ phận.Job requirements Yêu cầu ứng viên: - Tốt nghiệp Cao đẳng, Đại học chuyên ngành Công nghệ thông tin, Điện tử - Viễn thông hoặc chuyên ngành có liên quan; - Có thể trực cuối tuần, trực lễ tết, làm theo ca và đi công tác; - Có thể giao tiếp tiếng Anh trong công việc (Khách hàng, đối tác của NetNam có người nước ngoài, nên yêu cầu có thể giao tiếp tiếng Anh trong quá trình xử lý sự cố); - Ưu tiên sinh viên mới ra trường, không yêu cầu kinh nghiệm, các kiến thức chuyên môn sẽ được training; - Chịu được áp lực cao; - Có khả năng giao tiếp và xử lý tốt các vấn đề; - Kỹ năng quản lý thời gian, sắp xếp công việc tốt; - Nắm bắt nhanh, có tinh thần ham học hỏi.  Chính sách phúc lợi: - Được hưởng các gói bảo hiểm sức khỏe 24/7, bảo hiểm tai nạn và các loại bảo hiểm khác theo quy định của nhà nước; - Khám sức khỏe định kỳ hàng năm tại các phòng khám đa khoa quốc tế, tiêm phòng vacxin phòng ngừa cúm; - Các hoạt động thể thao như đá bóng, chạy bộ, cầu lông; - Ít nhất một chuyến du lịch nước ngoài; 1 chuyến teambuilding trong nước, các hoạt động Tân Niên, Tất Niên; - Thưởng lễ, tết, lương tháng 13 và nghỉ phép theo quy định; - Phụ cấp cơm trưa, được cấp laptop và giữ xe miễn phí; - Cơ hội thăng tiến, phát triển, lộ trình nghề nghiệp rõ ràng.",$400 - $700,SKILLIT Helpdesk,https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F00%2F11125301.png&w=256&q=75,https://www.vietnamworks.com/it-helpdesk-moi-ra-truong-tieng-anh-tot-1760662-jd?source=searchResults&searchType=2&placement=1760662&sortBy=date
