Title,Company,Requirement,Salary,technical_skills,location,worktime,img_link,url
Senior C# Fullstack Developer,TOG recruitment,"['Must have', 'Above 8 years of experience in software development', 'Experience in Microsoft .NET, .NET Core', 'Strong expertise in AWS or Microsoft Azure (any Azure native applications', 'Experience in Microsoft Azure DevOps/ Github', 'Excellent communication skills in English', 'Ability to mentor and guide other team engineers', 'Have passion for new technology, especially Microsoft', 'Nice to have', 'Knowledge with Azure Copilot', 'Azure certifications']",Up to 70000000VND,"['C#', '.NET', 'MS', 'Azure', 'ASP.NET', 'ASP.NET', 'MVC', 'WPF', 'MS', 'SQL', 'Github', 'MS', 'Azure', 'AWS', 'ReactJS', 'Angular2', '.NET', 'Core', 'Azure', 'Cosmos', 'DB', 'Azure', 'DevOps', 'Blazor']","Quận 3, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/81250/senior-c-fullstack-developer
Senior Java Backend Developer,Dr.JOY,"['Must have', 'Java (8 or more) - 5 years of experience', 'Experience in creating basic design', 'Experience in designing Database', 'Ability to make highly maintainable code', 'Object-Oriented Programming', 'Spring boot / Spring framework', 'MongoDB', 'Nice to have', 'Re-engineering', 'gRPC (Protocol Buffers', 'Docker', 'Kubernetes']",Up to 2000,"['Java', 'Spring', 'Spring', 'Boot', 'OOP', 'Database', 'Design', 'MongoDB']","Cầu Giấy, Hà Nội",Full Time,https://www.itjobs.com.vn/upload/Employer/Dr.JOY-logo.jpg,https://www.itjobs.com.vn/en/job/81724/senior-java-backend-developer
Salesforce Marketing Cloud Consultant,Clever Age,"['Graduated from an engineering school or university diploma', 'Ability to work remotely in different time zones (US time zones', 'Experience with Salesforce Marketing Cloud', 'Clear communication skills to make complex technical matters simple when when communicating with non-technical stakeholders and client executives', 'Have a ‘can-do’ attitude and be a good team player', 'Very good command of both written and spoken English']",Negotiable,"['Salesforce', 'JavaScript']","Quận 3, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Clever-Age-logo.jpg,https://www.itjobs.com.vn/en/job/81725/salesforce-marketing-cloud-consultant
Frontend Developer,Fastboy Marketing,"['Must have', 'Proficient in React stack (ReactJS, State Management, Functional Programming', 'Good knowledge with HTML5, CSS3, SASS/SCSS', 'Experience in developing responsive layouts leveraging CSS and media queries', 'Good knowledge of UI/UX practices', 'Good to have', 'Familiar with deployment, scaling, monitoring, and performance tuning', 'Familiar with Agile Process and Scrum Methodologies', 'Familiar with Extreme Programming methodologies of TDD (Test Driven Development), Refactoring, and Continuous Integration', 'Familiar with GraphQL']",Negotiable,"['JavaScript', 'ReactJS', 'HTML5', 'CSS3', 'SCSS', 'Sass', 'UI/UX']","Tan Phu, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Fastboy-Marketing-logo.jpg,https://www.itjobs.com.vn/en/job/81726/frontend-developer
Senior Product Owner,One Mount Group,"['Minimum of 5 years of product management experience in tech company, with at least 1 years leading sprints', 'Experience working with architecture teams to access and size story', 'Experience in planning and launching of product go-to-market strategy', 'Experience in Agile principles and processes especially on scrum methodologies', 'Deep understanding on fundamentals of iterative and incremental development', 'Strong understanding of SDLC and Agile procedures to predict development team needs', 'Domain experience of real estates or proptech are highly preferred', ""Bachelor's or Master's degree in a technical or business management discipline""]",Negotiable,"['Product', 'Development', 'Jira']","Hoàn Kiếm, Hà Nội",Full Time,https://www.itjobs.com.vn/upload/Employer/One-Mount-Group-logo.jpg,https://www.itjobs.com.vn/en/job/81727/senior-product-owner
Mobile Apps Developer,VIB - Vietnam International Bank,None,Negotiable,"['Android', 'iOS', 'Kotlin', 'Java', 'JavaScript', 'JSON', 'XML', 'HTML', 'CSS', 'Oracle', 'PL/SQL', 'Ajax', 'MySQL', 'IIS', 'XPath', 'Objective', 'C', 'REST', 'IBM', 'WebSphere', 'Swift', 'MS', 'SQL', 'Golang', 'React', 'Native']","Hoàn Kiếm, Hà Nội",Full Time,https://www.itjobs.com.vn/upload/Employer/VIB%20-%20Vietnam%20International%20Bank-logo.jpg,https://www.itjobs.com.vn/en/job/81728/mobile-apps-developer
Fullstack Developer,Restaff,"['Required Experience', 'Proven experience as a Full Stack Developer (5+ years', 'Proficiency in ReactJS, NodeJS, and TypeScript', 'Experience with Kafka, RabbitMQ, and Redis', 'Familiar with cloud platforms, preferably Microsoft Azure', 'Familiar with PostgreSQL and MongoDB', 'Strong at software design SOLID, Design Patterns', 'Solid understanding of web development fundamentals like HTTP, REST APIs, and GraphQL', 'Exceptional problem-solving and debugging skills', 'Excellent communication and collaboration skills', 'Good to have', 'Good knowledge of micro-service development and continuous integration', 'Good understanding of SCRUM/Agile methodologies', 'Experienced with Docker and Kubernetes', 'Experienced with Agile/Scrum team', 'Performance UI/UX', 'Unit test/ /CI/CD']",Negotiable,"['JavaScript', 'ReactJS', 'NodeJS', 'PostgreSQL', 'MongoDB', 'HTTP', 'Design', 'Patterns', 'TypeScript', 'REST', 'API', 'RabbitMQ', 'SOLID', 'Redis', 'MS', 'Azure', 'Apache', 'Kafka', 'GraphQL']","Phú Nhuận, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Restaff-logo.jpg,https://www.itjobs.com.vn/en/job/81729/fullstack-developer
(Senior) Golang Developer,GFT Technologies Vietnam,"['Required Skills', 'A minimum of 4 years of professional experience as a Backend GoLang Developer', 'Have a good command of English', 'Demonstrable experience in software development', 'Practical experience in backend development', 'Profound familiarity with the Go programming language', 'Experience with OOP, MVC Design Pattern, Clean Architecture, Go Routines, and Unit Tests', 'Comprehensive understanding of the full backend development life cycle', 'Experience with databases such as PostgreSQL or MySQL', 'Nice-to-have requirements', 'Familiarity with JIRA or other project management tools', 'Experience in CI/CD, Docker, and static code quality analytics', 'Experience in database management and optimization', 'Experience in designing and developing RESTful APIs', 'Experience with cloud platforms like AWS or Azure']",Negotiable,"['Golang', 'OOP', 'MVC', 'PostgreSQL', 'MySQL', 'Unit', 'testing', 'Design', 'Patterns', 'Clean', 'Architecture']","Quận 1, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/GFT-Technologies-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81730/senior-golang-developer
Principal Java Engineer,NAB Innovation Centre Vietnam,"['Proficiency in Java Springboot microservices: Mastery of Java and Spring Boot framework to develop scalable and resilient microservices', 'Experience with cloud technologies like AWS and Azure: Familiarity with cloud platforms and services for deploying and managing microservices in a cloud-native environment', 'Familiarity with build pipelines including Harness: Understanding of continuous integration and continuous deployment (CI/CD) pipelines for automating software delivery', 'Knowledge of API specification and spectral rules: Proficiency in defining API specifications and enforcing API design rules using spectral', 'Expertise in data modelling and integration schema design: Ability to design data models and schemas that support the requirements of microservices and ensure data consistency and integrity', 'Robust understanding of integration security best practices, including OAuth and OpenAPI Specification: Knowledge of security protocols and standards for securing microservices communication and data exchange', 'Experience with integration error handling and resilience engineering: Proficiency in implementing error handling mechanisms and designing resilient microservices architectures to ensure fault tolerance and reliability', 'Knowledge of Node.js is a plus: Familiarity with Node.js for developing lightweight and scalable microservices, though not mandatory', 'Soft Skills Required', 'Excellent stakeholder communication skills: Ability to communicate effectively with stakeholders at all levels and translate technical concepts into business terms', 'Ability to take a data-driven approach to decision-making: Capacity to analyse data and metrics to inform architectural decisions and prioritise initiatives based on their impact', 'Strong relationship-building and influencing abilities: Skill in building positive relationships with colleagues and stakeholders and influencing them towards architectural best practices', 'Exceptional written communication skills: Proficiency in articulating ideas and concepts clearly and concisely through written documentation and presentations']",Negotiable,"['Java', 'Spring', 'Spring', 'Boot', 'OAUTH', 'NodeJS', 'MS', 'Azure', 'Open', 'API', 'AWS', 'Microservices', 'CI/CD']","Tan Binh, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/NAB-Innovation-Centre-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81731/principal-java-engineer
Product Owner,Trusting Social,"['Required', 'Ability to zoom in - analyzing a problem, pain point in depth; and zoom out - maintaining a clear picture of business impact, constraints, dependencies of all features & problems to effectively prioritize and ensure overall success', 'Go to the bottom of things, problems, metrics to derive key drivers. Listen intensely and think deeply to discover disruptive insights', 'Mindful of feelings, emotions, needs and wants of customers, colleagues and yourself', 'Exceptional problem-solving skills: think from first principles to validate insights, ask thoughtful questions, create well considered solutions that have a clear path to delivering large value', 'Good analytical and abstraction skills, with the ability to break down complex problems into smaller parts and identify key issues', 'Excellent communication skills, both verbal and written, and ability to articulate complex technical concepts to both technical and non-technical stakeholders with clarity of thought', 'Ability to translate business requirements into clear and concise user stories with acceptance criteria', 'Strong communication and collaboration skills, with the ability to work effectively with cross-functional teams and build strong relationships with stakeholders', 'Extreme ownership, ready to roll up your sleeves and do whatever it takes to realize the vision', 'Ability to maintain a keen attention to detail, keeping commitment with multiple objectives, and work well under pressure', 'Strong learning ability and self-motivation to acquire new knowledge', 'Preferred', 'Degree or strong experience in Computer Science, Engineering, Mathematics, Consulting', 'Experience with Banking & Financial B2B products, especially AI solutions', 'Knowledge of AI/Machine Learning topics']",Negotiable,"['AI', '(Artificial', 'Intelligence)', 'Machine', 'Learning']","Quận 1, TP Hồ Chí Minh",Full Time,https://www.itjobs.com.vn/upload/Employer/Trusting-Social-logo.jpg,https://www.itjobs.com.vn/en/job/81732/product-owner
