Title,Company_name,Address,Contract_type,Requirement,Benefit,Technical_skills,Link_image,URL
Connected Car Cloud Product Manager,Personify Incorporation,"10 Pho Quang - Ward. 2, Tan Binh, Ho Chi Minh",Full time,[],Negotiable,"['Product Manager', 'Project Manager', 'Cloud']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBekhsREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--df522f327421f0e499d55339fa9eb33c2d5ed6e0/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--89a7283b6fdfb4208cdc2b440a36613a6fae974c/personify-incorporation-logo.jpg,https://itviec.com/it-jobs/connected-car-cloud-product-manager-personify-incorporation-3428?lab_feature=preview_jd_page
Mobile Application Product Manager,Personify Incorporation,"10 Pho Quang - Ward. 2, Tan Binh, Ho Chi Minh",Full time,[],Negotiable,"['Product Manager', 'Project Manager', 'Manager']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBekhsREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--df522f327421f0e499d55339fa9eb33c2d5ed6e0/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--89a7283b6fdfb4208cdc2b440a36613a6fae974c/personify-incorporation-logo.jpg,https://itviec.com/it-jobs/automotive-mobile-application-product-manager-personify-incorporation-2826?lab_feature=preview_jd_page
"Technical Lead (Server-Side, B2B SaaS)",RAKSUL Vietnam,"34th Floor, Lim Tower 1, 9-11 Ton Duc Thang, District 1, Ho Chi Minh",Full time,"['Lead the hands-on development of scalable, reliable, and high-performance backend systems using NodeJS.', 'Work closely with cross-functional teams to understand and analyze requirements, aligning them with business goals.', 'Develop RESTful APIs and web services to bridge our frontend and backend systems seamlessly.', 'Document technical designs, architecture diagrams, data models, and API specifications meticulously. ', 'Provide mentorship to junior developers on the team, conduct code reviews to maintain best coding practices and standards.', 'Lead the development of integrations with third-party SaaS applications using SDKs and REST APIs, focusing on secure and efficient data exchanges .', 'Spearhead the development of Elastic Search-based search and data querying solutions, integrating them with GraphQL APIs.', ""Apply if interested; we're open to being surprised. English fluency is the only strict requirement."", ' A minimum of 5 years of experience in hands-on software development, with a strong emphasis on programming.', 'Proficiency in verbal English communication is a hard requirement.', 'Demonstrated expertise in the design and implementation of distributed systems, microservices architecture , RESTful API design principles, and best practices.', 'Proficiency in cloud infrastructure like AWS (including EC2, S3, SQS, SNS, DocumentDB, OpenSearch) and containerization technologies like Docker and Kubernetes.', 'Comprehensive understanding of database technologies, both relational and NoSQL.', 'Familiarity with Ruby on Rails is a plus.', 'Proven experience in mentoring and leading developers, with a keen ability to review code and offer constructive feedback']",Negotiable,"['NodeJS', 'English', 'DevOps']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMkNrSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6af39f9b4733ad6c16bf6c85fe5f06fef65370a5/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/20210729_raksul_logo_black_CMYK.png,https://itviec.com/it-jobs/technical-lead-server-side-b2b-saas-raksul-vietnam-5400?lab_feature=preview_jd_page
"Python Team Lead/Dev (JavaScript, Linux)",Vietsoftpro,"12/71 Lang Ha, Thanh Cong, Ba Dinh, Hanoi",Full time,"['Graduated from university/college majoring in IT or related majors; ', 'At least 3 years of Python programming experience; ', 'Proficient in HTML5/CSS3/Bootstrap/JavaScript; ', 'Experience with one of the following databases: Postgres, MariaDB; ', 'Master MVC, MVVM web models; ', 'Priority is given to candidates who grasp AI and LLM technologies; ', 'Familiar with micro-service web architecture; Proficient in Linux;', 'Able to work well in a team, proactively reporting results of assigned work;']",Negotiable,"['Python', 'Linux', 'JavaScript']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBek5wSnc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0f87fca9c806cb6f6f915b614dd1d123e21ed4b7/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--89a7283b6fdfb4208cdc2b440a36613a6fae974c/97ad9399-b847-452f-b7b5-fca83814d380.jpg,https://itviec.com/it-jobs/python-team-lead-dev-javascript-linux-vietsoftpro-3943?lab_feature=preview_jd_page
Solution Architect / Technical Architect,Tyme,"HIU Tower, 215 Dien Bien Phu, Ward 15, Binh Thanh, Ho Chi Minh",Full time,"['Hands-on experience with Java, Spring Framework', 'Good at technical writing and documentation solutions by diagrams and figures', 'Experienced in different kinds of large-scale data stores and messaging systems', 'Designing and delivering resilient solutions with enterprise integration patterns in business- complex and large-scale systems for multiple years', 'Strong experience in system resilience, analytics, monitoring, and notifications', 'Strong experience in system resilience, analytics, monitoring, and notifications', 'Excellent understanding of application development across multiple geographies', 'Experience in Fintech or Digital banking is a plus', 'Hands-on experience with Cloud (AWS is a big plus)', 'At least 5 years of experience working as a software engineer', 'At least 3 years working as Solution Architect', 'Design one or more systems running on production', 'Technical leadership and communication skills', 'Excellent written and oral English']",Negotiable,"['Java', 'AWS', 'Spring']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK0xPTEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e622a8382b21b032819f520d792bef976ace053e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/TX_RGB_Primary_onWhite.png,https://itviec.com/it-jobs/solution-architect-technical-architect-tyme-3936?lab_feature=preview_jd_page
Middle - Senior Backend Developer (Python),HDBank,"25 Nguyen Thi Minh Khai, District 1, Ho Chi Minh",Full time,"['At least 3 years of proven experience as a Backend Developer or in a similar role.', 'Strong knowledge and expertise in the Python programming language.', 'Possession of the Thought Machine Vault Foundation Certification is highly desirable.', ' Experience in Smart Contract development is a significant plus.', 'A solid understanding of fundamental design principles for building scalable applications.', 'Familiarity with version control systems, such as Git.', 'Exceptional problem-solving capabilities and meticulous attention to detail.', 'Prior experience in the banking or finance sector is strongly preferred.', 'Proficient in creating technical specification documents, including ERD, Database schema, Swagger APIs, etc.', 'Experience in testing methodologies and frameworks.', 'Hands-on experience with at least one web framework, data engineering, and Object-Oriented Programming (OOP).', 'English proficiency at an intermediate level or higher, particularly in reading technical documentation and communication with international colleagues.']",Negotiable,"['Python', 'Java']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzh1REE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ce285453891883a82df371f1823777ed0ab75cac/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/hdbank-logo.png,https://itviec.com/it-jobs/middle-senior-backend-developer-python-hdbank-4247?lab_feature=preview_jd_page
Java Team Leader - Digital Core Although Machine Project,HDBank,"25 Nguyen Thi Minh Khai, District 1, Ho Chi Minh",Full time,"[""Bachelor's degree in Computer Science, IT, or related field."", 'Minimum 5 years of experience with Java 8 or newer', 'Strong background in Java core concepts, Object-Oriented Programming, data structures, and algorithms.', 'Expertise in the Spring Framework (Spring, Spring Boot, Spring Security, Spring JPA, etc.).', 'Extensive experience with SQL databases.', 'In-depth understanding of testing methodologies and frameworks.', 'Proficient with cloud services, especially AWS, and containerization technologies like Docker and Kubernetes.', 'Mastery of version control systems, such as Git and SVN.', 'Experience with build and project management tools: Maven, Gradle, Jira, Confluence, etc.' , 'Demonstrated problem-solving skills and a continuous learning mindset when it comes to new technologies.', 'Strong leadership qualities with empathy, integrity, and commitment to team success.', 'Excellent communication and interpersonal skills, with fluency in English for skills both technical documentation and international collaboration.', 'Advanced knowledge of microservices architecture and event-driven systems, including a deep understanding of Kafka's ecosystem.', 'Skilled in the setup of CI/CD pipelines, code analysis tools, and quality gates. ', 'Knowledgeable in techniques for system performance evaluation and management logging tools.', 'Preferable experience in the banking or financial services sector.', 'This description ensures the Java Backend Team Leader role is complete and can be understood independently, emphasizing the leadership and advanced technical skills required for the position.']",Negotiable,"['Java', 'Team Leader', 'Spring']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzh1REE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ce285453891883a82df371f1823777ed0ab75cac/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/hdbank-logo.png,https://itviec.com/it-jobs/java-team-leader-digital-core-though-machine-project-hdbank-4203?lab_feature=preview_jd_page
ITO Project Manager (Fluent Korean & English),"CJ OLIVENETWORKS VINA CO., LTD","6 Le Thanh Ton, Ben Nghe Ward, District 1, HCMC, District 1, Ho Chi Minh",Full time,"['5+ years of experience in IT development/ operation project management', 'Proven track record in developing and managing systems based on Magento, Java & Spring Framework.', 'Demonstrated experience in successfully building and operating e-commerce websites and CRM systems.', 'Global proficiency and exposure in project management.', 'Proficiency in effectively managing customer relationships and human resources within project teams.', 'Fluent in business English and Korean with effective communication skills to communicate directly with customers (mandatory) .', 'Proficiency in Java, JavaScript, HTML5, and proficiency with various open-source technologies.', 'Strong command of database management systems including MongoDB, PostgreSQL, MySQL, and other open-source databases.', 'Extensive experience in designing, implementing, and utilizing Open APIs.', 'In-depth knowledge and hands-on experience with e-commerce platforms such as Magento, Shopify, etc.', 'Possess a proactive mindset with a demonstrated ability to drive results.' , 'Excellent customer management skills, including handling key customer interactions, listening to and addressing their feedback (VOC), analyzing and supporting received tasks, and hinting and discovering new business opportunities.', 'Strong human resource management skills, including team building, conflict resolution, and performance evaluation.', 'Strong issue-resolution skills, with the ability to identify and address challenges promptly and effectively.', 'Demonstrated proficiency in quality management, ensuring that projects adhere to high standards and meet client requirements.' ]",Negotiable,"['Project Manager', 'Java', 'Manager']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVgyREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0fdf10fdbc41914d6bc91a58224376ab414c3a6f/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/cj-olivenetworks-vina-co-ltd-logo.png,https://itviec.com/it-jobs/ito-project-manager-fluent-korean-english-cj-olivenetworks-vina-co-ltd-1521?lab_feature=preview_jd_page
"Backend Dev (PHP, Laravel) up to 2000$",ITZ,"8th Floor, DITP Building, Lot A2-19, extended Nguyen Tat Thanh Street, Hoa Hiep Nam Ward, Lien Chieu, Da Nang",Full time,"['Have practical work experience or knowledge in Web application development and operation', 'Have at least 3 years of development experience with PHP', 'Have a Japanese level equivalent to N3 or higher', 'Have experience in frontend development (HTML, CSS, Javascript) ', 'Have experience working with version control (e.g. Git) ', 'Have experience in developing systems using Laravel framework', 'Have at least 1 year development experience with C#']",Negotiable,"['PHP', 'Java', 'Laravel']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL000REE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5e7d186e3e601cbe816456c126a8d058dc8d3a5/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/itz-logo.png,https://itviec.com/it-jobs/backend-dev-php-laravel-up-to-2000-itz-2052?lab_feature=preview_jd_page
"QA Automation Engineer (QA QC, Tester)",MEALSUITE,"45 Street 2, Him Lam Residential Area, Tan Hung, District 7, Ho Chi Minh",Full time,"['Fluent English', 'Proven work experience as a QA Automation Engineer or similar role, with a focus on automated testing and test frameworks (3+ years of experience in automation testing)', 'Strong understanding of quality process in an Agile culture , with experience working on a continuous integration, continuous delivery pipeline', 'Strong Java programming skills', 'Proven experience in using tools and frameworks such as: Cucumber, Appium, Selenium', 'Experience in working with build tools such as Jenkins and /or other build tools to integrate test automation into CI/CD pipelines', 'Experience working with external cloud testing solutions such as AWS device farm or BrowserStack', 'Good experience in writing BDD scenarios using Cucumber/Serenity/ any other BDD tool is a plus', 'Must be able to work flexible hours']",Negotiable,"['Automation Test', 'Tester', 'QA QC']",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd2FVSWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--9497cdf6e01ce333268cead2c741a678af04c814/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/logo%20ms%20-%20Binh%20Le.png,https://itviec.com/it-jobs/qa-automation-engineer-qa-qc-tester-mealsuite-0000?lab_feature=preview_jd_page
