title,company,requirement,salary,technical_skill,location,working_time,image_url,job_url
"Frontend Developer (ReactJS, Typescript)",Renesas Electronics,,Negotiable,"['container', 'nextjs', 'ci', 'modular', 'scss', 'webpack', 'typescript', 'nodejs', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/715.png,https://nodeflair.com/jobs/renesas-electronics-frontend-developer-reactjs-typescript-193759?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Data Scientist – ALM,VPBank,,Negotiable,"['r', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9859.png,https://nodeflair.com/jobs/vpbank-senior-data-scientist-alm-193758?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,qode.world,,Negotiable,"['aws', 'c++', 'analytics', 'storm', 'aurora', 'bigquery', 'java', 'spark', 'kafka', 'sql', 'scala', 'hadoop', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22132.png,https://nodeflair.com/jobs/qode-world-data-engineer-193757?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Software Engineer - Data,qode.world,,Negotiable,"['strategy', 'mysql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22132.png,https://nodeflair.com/jobs/qode-world-senior-software-engineer-data-193756?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Scientist - Lending Model,Aboitiz Data Innovation,,Negotiable,"['docker', 'oop', 'git', 'spark', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/6176.png,https://nodeflair.com/jobs/aboitiz-data-innovation-data-scientist-lending-model-193755?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer (SQL required),ELCA Group,,Negotiable,"['oracle', 'ssrs', 'ssis', 'sql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14832.png,https://nodeflair.com/jobs/elca-group-data-engineer-sql-required-193754?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Backend Engineer (.NET),PropertyGuru,,Negotiable,"['mvc', 'docker', 'go', 'angularjs', 'ci', 'wcf', 'oop', 'mssql', 'html', 'aspnet', 'javascript', 'sql', 'c#', 'jquery', 'net', 'postgresql', 'cassandra', 'mysql', 'mongodb', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/242.png,https://nodeflair.com/jobs/propertyguru-senior-backend-engineer-net-193753?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
DevOps Engineer,Stor.ai,,Negotiable,"['terraform', 'docker', 'jenkins', 'factory', 'argocd', 'ci', 'elk', 'shell', 'chef', 'puppet', 'azure', 'mssql', 'grafana', 'linux', 'kubernetes', 'ansible', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22361.png,https://nodeflair.com/jobs/stor-ai-devops-engineer-193752?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mobile Application Developer (ReactNative),Stor.ai,,Negotiable,"['drupal', 'analytics', 'firebase', 'mssql', 'react native', 'ios', 'angular', 'android', 'sql', 'nodejs', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22361.png,https://nodeflair.com/jobs/stor-ai-mobile-application-developer-reactnative-193751?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Engineer - Design Implementation Focus,ScenTronix,,Negotiable,"['nextjs', 'api', 'play', 'mui', 'nosql', 'typescript', 'javascript', 'nodejs', 'mysql', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/21266.png,https://nodeflair.com/jobs/scentronix-full-stack-engineer-design-implementation-focus-193750?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
