job_title,company_name,requirement,salary,location,image_link,job_url
Developer - Zalo,Công ty TNHH Phân Phối Trực Tuyến Nhất Nhất,"['Graduate from College or higher in Information Technology, Computer Science...\nHave experience working with data management systems: MySQL, PostgreSQL, MongoDB...\nHave programming skills Good with languages ​​such as PHP, Java...\nSkills for teamwork and independent work\nKnowledge of Front-End: HTML, CSS, Javascript, Jquery, NodeJS, ReactJS...']",The deal,"- Hanoi: 8th Floor, Dong Loi Building, No. 2 Lane 1160 Lang Street, Lang Thuong Ward, Dong Da",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/vPdZ7qIqzQZbqzfZbIQ7iWLxWw6txd54_1697185651____c29578fd249bf18c6a9d40f844a93894.png,https://www.topcv.vn/viec-lam/lap-trinh-vien-developer-zalo/1295219.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
"Front-End Developer, Salary from 25-50 Million (Requires 4 Years of Experience)",TNHH APPTIFACT,"[""At least 4 years of experience in web development, with a strong emphasis on React.js projects.\nBachelor's degree in Computer Science, Information Technology, or related fields.\nProficiency in React.js, including a thorough understanding of web development best practices, lifecycle management, state management with Redux or similar libraries, and component creation.\nBasic communication skills in English for effective teamwork.\nExperience with Git, CI/CD practices, and modern front-end build pipelines and tools.\nAbility to manage third-party dependencies and debug conflicts.\nUnderstanding of RESTful APIs for integration with back-end services.\nFamiliarity with Jira and Agile project management.\nStrong problem-solving abilities in a fast-paced, team-oriented environment.\n nExperience with Next.js or Nuxt.js frameworks is preferred.\nCandidates with extensive experience in other front-end languages ​​or frameworks like Vue.js, jQuery, and Angular are highly desirable.\nPreference for candidates with experience in Material-UI ( MUI), enhancing the design and usability of web applications with this popular React UI framework.""]",25 - 50 million,"- Ho Chi Minh: Sarina Block A Building, Street B2, An Loi Dong Ward, District 2, Ho Chi Minh City, District 2",https://www.topcv.vn/v4/image/normal-company/logo_default.png,https://www.topcv.vn/viec-lam/front-end-developer-luong-tu-25-50-trieu-yeu-cau-tu-4-nam-kinh-nghiem/1292212.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Front-End Developer 3 Years of Experience (Salary from 20-30 Million),CÔNG TY TNHH TIMIND,"[""Bachelor's Degree (or above) in IT or related fields, with a preference for candidates from top-tier universities\nAt least 3+ years hands-on experience in below languages, frameworks and libraries:\nNextJS, ReactJS or VueJS\nJavascript & Typescript (>= ES6)\nHTML, CSS3, Bootstrap/Tailwind CSS\nRESTful API\nFamiliar with:\nWebpack, Eslint\nYarn, Npm/Pnpm\nFigma/ Zeplin\nDocker\nGit (Github / Gitlab)\nPostman\nStrong knowledge of CSS and CSS framework (Bootstrap, ElementUI,...), experience in transforming Figma designs into reusable web components\nFamiliarity with RESTful APIs and asynchronous programming\nGood UI/UX mindset""]",20 - 30 million,#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-timind-641d84b3b6fad.jpg,https://www.topcv.vn/viec-lam/front-end-developer-3-nam-kinh-nghiem-luong-tu-20-30-trieu/1302030.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Game Programming - Unity Developer (Intern/Fresher) - Income Up to 10 Million - Work Immediately in Hanoi,Công ty Cổ phần Công nghệ và Sáng tạo Rocket,"['Fresher requires a minimum of 6 months of experience.\nSkilled in using Unity (Having a personal game product made with Unity is an advantage)\nUnderstanding of logic, data structures, algorithms, design patterns .\nHave a good background in mathematics, natural science majors.\nLove games and have a clear development orientation in the industry.\nDynamic, enthusiastic and creative in game development.\nHave a spirit of self-discipline, progressive, eager to learn.']",Up to 12 million,"- Hanoi: 8th floor, Gold Tower, 275 Nguyen Trai, Thanh Xuan district, Thanh Xuan",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/u1hG8YQHzODPwxTJy2TDBf09NqeploCl_1664952814____119b3fe3501c7fad2e3736c4669e4057.jpg,https://www.topcv.vn/viec-lam/lap-trinh-game-unity-developer-thuc-tap-sinh-fresher-thu-nhap-upto-10-trieu-di-lam-ngay-tai-ha-noi/1291097.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Game Developer (Cocos/ Unity) - Salary Upto 35 Million,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,"['Experience in developing mobile games preferred\nExperience in Javascript and Typescript\nExperienced in Cocos Creator/ Unity\nEager to learn, good thinking and especially like to play games\nHave good thoughts at the user interface and user experience']",Up to 35 million,"- Hanoi: November 18, Thai Ha, Dong Da",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/498IvFMDo2L60nGzXP3a0Y75xxrC3S4g_1653639891____c1dbad37e1ff62ce9f069436a1dbbdf4.png,https://www.topcv.vn/viec-lam/game-developer-cocos-unity-luong-upto-35-trieu/1300065.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Backend Developer,Woo Technology,"['Must have:\nAt least 2-3 years of experience working with PHP & MySQL.\nGood understanding at least one of the following frameworks|cms|platform: Laravel, Wordpress, Shopify.\nGood to have:\n1-2 years working experiences on Wordpress, Shopify.\nExperienced with building e-commerce websites or landing pages using wordpress.\nAbility to work on multiple projects.\nEnglish: basic']",15 - 25 million,#NAME?,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/hApKlsLK6yEwjXIG8EFov3qpivKnI8Q9_1666667020____1404507d68a3f102e63dbd7b99cfd1d5.jpg,https://www.topcv.vn/viec-lam/backend-developer/1297413.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Senior .NET Developer (Income From 30 Million),CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,"['● At least 5 years of extensive experience working with .NET languages, including C# and ASP.NET.\n● Strong knowledge of OOP principles and software design.\n● Understanding Deep knowledge of MVC (Model-View-Controller) structure and programming principles according to this model.\n● Strong knowledge of HTML, CSS, and JavaScript to be able to work effectively with designers and frontend developer.\n● Good knowledge of relational databases such as MSSQL, Mysql.\n● Experience working with Nodejs is a big advantage\n● Experience working with large software projects and complex.\n● Have a solid understanding of web application development and related databases.\n● Having knowledge of frontend frameworks such as ReactJS, VueJS, Svelte... is an advantage. \n● Good skills in writing clean, readable and maintainable code.\n● Good skills in interaction and communication\n● Ability to learn new languages ​​in a short time\n● Skills Highly independent work and good problem solving ability.']",Over 30 million,"- Hanoi: 2nd floor, building 229 Tay Son, Dong Da",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tap-doan-thien-khoi-339e7097344c357061741612aca80a49-65e7e505037d3.jpg,https://www.topcv.vn/viec-lam/senior-net-developer-thu-nhap-tu-30-trieu/1296000.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
QA Manual Developer (Senior),DigiEx Group,"[""Your Skills and Experience\n2-4 years of experience in software quality assurance (QA) or quality control (QC)\n(2-4 years of experience in the field of quality assurance) software quality (QA) or quality control (QC)\nStrong knowledge of software testing methods and procedures\n(Strong knowledge of software testing methods and processes)\nExperience with manual and automated tools and technologies.\n(Experience with manual and automated testing tools and technologies)\nFamiliarity with software development methodologies (e.g. Agile, Scrum)\n(Familiarity with software development methodologies ( for example: Agile, Scrum))\nKnowledge of SQL and database technologies\n(Knowledge of SQL and database technology)\nStrong analytical and problem-solving skills\n(Analytical and problem-solving skills good)\nExcellent verbal and written communication skills\n(Excellent verbal and written communication skills)\nBachelor's degree (or higher) in Computer Science, Software Engineering, or related field\n(Bachelor's degree (or higher) in Computer Science, Software Engineering, or related field\n degree) in Computer Science, Software Engineering or related field)""]",The deal,"- Ho Chi Minh: QTSC 1 Building, Quang Trung software area, District 12",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/NnHkGxDp79SZy202EQ3049lYOudYtbgv_1655183749____77f2eb81a133f5c627a826a7167e3998.png,https://www.topcv.vn/viec-lam/qa-manual-developer-senior/1207925.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
Golang Developer (Golang Developer),CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ INET,"['• Have at least 1 year of experience working with the Golang language.\n• Work with relational databases, especially MySQL.\n• Have experience deploying applications through API.\n• Ability to learn new technologies and troubleshoot problems.\n• Use technologies such as Kafka, Elasticsearch, Redis etc. is an advantage.\n• Having worked on educational products is an advantage.\n• Knowing how to operate servers (linux) and CI/CD is an advantage.\n• Having experience and understanding about standards such as Microservices, Oauth, SCORM, ... is an advantage.\n• Graduated from University/College majoring in Information Technology or equivalent.']",15 - 35 million,"- Hanoi: No. 247 Cau Giay, Dich Vong Ward, Cau Giay",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/525c368969be08fc400caf9f38108186-64ddf020443a3.jpg,https://www.topcv.vn/viec-lam/lap-trinh-golang-golang-developer/1291812.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
"Programming Instructor, Income from 15-25 Million, Get Job Immediately",CÔNG TY CỔ PHẦN TAGSOLUTION,"['- IELTS level: 7.0\n- Graduated from schools majoring in Computer Science.\n- Priority is given to having at least 1 year as a programmer or teaching one of the programming languages\n- Have good communication skills (with students and colleagues)\n- Have a passion for working with children.\n- Passionate about Technology, a background in Computer Science is encouraged. ']",15 - 25 million,"- Ho Chi Minh: Room 7-28.OT08 Park Building 7 Vinhomes Central Park, No. 720A Dien Bien Phu Street, Ward 22, Binh Thanh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/0a55e95552881315fc2bfc264fd1f5c0-6486a00fa26ec.jpg,https://www.topcv.vn/viec-lam/giang-vien-lap-trinh-thu-nhap-tu-15-25-trieu-nhan-viec-ngay/1294365.html?ta_source=JobSearchList_LinkDetail&u_sr_id=kV2C7QXIHAZ2wxBUP6fgaz4pTwAYEUNHKCbmdCdh_1713598641
