title,company,requirement,salary,technical_skill,location,working_time,image_url,job_url
Senior/Middle Frontend Developer,MEGADAO,"Develop landing pages and product websites; Develop reusable UI components and frontend libraries in React.JS; Analyze website performance proactively and implement solutions for improvement; Cooperate with other departments5+ years of experience building applications with any reactive framework; 5+ years of programming experience using JavaScript, HTML, CSS; Development experience in React.JS or Vue.JS; Experience working with one of the image libraries: PixiJS, Three.JS, Konva, Paper.JS, p5.JS; Solid working experience with component-based development on the client side; A plus would be:; Deep knowledge of creating standards-compliant, cross-browser compatible, mobile-ready frontend code with responsive design; Experience developing sites with no-code tools such as Webflow, Wix, Readymag, Tilda; UI/UX design skills; Server-side knowledge",Negotiable,"['reactjs', 'html', 'javascript']","Landmark 1, Vinhomes Central Park - 208 Nguyen Huu Canh, Ward 22, Binh Thanh District, Ho Chi Minh City",Fulltime,https://salt.topdev.vn/5EYw7sPOsxctPUc-Xk2_UYVWn1rEgGX5sUFTC2-pMHk/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDI0LzA0LzIyL1RvcERldi1tZWdhZGFvLTE3MTM3NTMyOTUucG5n,https://topdev.vn/viec-lam/senior-middle-frontend-developer-megadao-2033125
Android Developer,LIEN VIET POST JOINT STOCK COMMERCIAL BANK,"Develop banking business requirements on existing source-code or build a new project.; Analyze and optimize performance and UI-UX of mobile banking applications.; Implement the integration of libraries and APIs of partners into mobile applications.; Deploy security solutions for mobile banking applications.; Deploy to the Play Store app store.Have experience in Android programming for 2 years or more, proficient in using Android Studio IDEs...; Understanding and proficient in Java/Kotlin programming language.; Master the fundamental knowledge of Android, have skills in handling issues related to services, receivers, performance, multi-thread, network, REST API.; Have skills in designing UI-UX interfaces on mobile.; Have experience and skills in programming tasks using cameras: image processing and recognition (QR code scanning, face recognition, writing...); Have experience programming and handling problems with connection protocols on mobile devices such as NFC, Bluetooth, Wifi, USB.; Have skills in security for Android applications.; Have good programming thinking, understand object-oriented programming, design patterns, popular software development architectures such as MVC, MVP, MVVM...; Proficient in using version management systems such as Git, SVN.",Negotiable,"['java', 'mobile', 'android', 'kotlin', 'rest', 'api']","LPB Building, No. 210 Tran Quang Khai, Trang Tien Ward, Hoan Kiem District, Hanoi City",Fulltime,https://salt.topdev.vn/C65IkNewPi3hBfr5dut6UaS2w4EFuwzED03kn3Dn3Bw/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIzLzA1LzE4L1RvcERldi16bFlJMWswRUpKckppS3k3LTE2ODQ0MDk1NzEucG5n,https://topdev.vn/viec-lam/android-developer-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2033124
iOS Developer,LIEN VIET POST JOINT STOCK COMMERCIAL BANK,"Develop banking business requirements on existing source-code or build a new project.; Analyze and optimize performance and UI-UX of mobile banking applications.; Implement the integration of libraries and APIs of partners into mobile applications.; Deploy security solutions for mobile banking applications.; Deploy to the Play Store app store.Graduated from University in computer science, information systems, software engineering; Have at least 2 years of experience developing iOS mobile applications (Swift); Proficient in design patterns: MVC, MVVM...; Experience building applications using client servers and using RESTFUL APIs.; Proficient in Swift, Core Foundation, UIKit, Cocoa Touch, Core Animation and other Apple frameworks.; Experience with memory management and memory/performance profiling; Experience with tools such as Figma, AI; Good teamwork skills.; Work carefully, proactively, with a high sense of responsibility; Withstand pressure in work and progress.",Negotiable,"['mobile', 'mvvm', 'ios', 'swift', 'mvc']","LPB Building, No. 210 Tran Quang Khai, Trang Tien Ward, Hoan Kiem District, Hanoi City",Fulltime,https://salt.topdev.vn/C65IkNewPi3hBfr5dut6UaS2w4EFuwzED03kn3Dn3Bw/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIzLzA1LzE4L1RvcERldi16bFlJMWswRUpKckppS3k3LTE2ODQ0MDk1NzEucG5n,https://topdev.vn/viec-lam/ios-developer-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2033123
"Specialist/ Supervisor, Java Software Engineer",Chubb Life Vietnam,"Develop custom templates using Crystal or Jasper tools; Develop, build new features, design from front-end to back-end according to each project of the company; Write APIs/ use APIs to connect with third party; Perform maintenance work and Develop new features according to the assigned work arrangement; Other tasks for project supporting as assigned by Head of departmentBachelor degree in IT/ Computer science; From 3 years experience in Java/ Java EE; Proficient in Spring Ecosystem, such as: Spring Boot, Spring Security, Spring Batch is a plus; Knowledge of Jasper/ Crystal report, iReport or report generating/developing tools; Experience in Restful API development Javascript, Typescript, HTML5, SASS/ CSS3, Angular framework and responsive design; Experience working in insurance industry is a plus; Nice to have if possess experience in mobile cross platform development, CI/ CD tools and Cloud services",Negotiable,"['java', 'spring', 'rest', 'api', 'javascript']","Head Office at: Tầng 21, Sun Wah Tower, 115 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Fulltime,https://salt.topdev.vn/XQXyPahzAenpMYWH61bBFyKdRU0NEsMDwLkohaCPsrg/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIyLzEwLzI0L1RvcERldi1DSFVCQkxvZ29EYXJrQmx1ZVJHQi0xNjY2NTgxMjg1LnBuZw,https://topdev.vn/viec-lam/specialist-supervisor-java-software-engineer-chubb-life-vietnam-2033122
QUALITY CONTROL TRAINING PROGRAM (QCTP),"CyberLogitec Vietnam Co., Ltd.",REQUIREMENTS; Passion for IT software; Good logical thinking; Eager to learn; Good communication in English and Vietnamese; High commitment; ON THE JOB TRAINING; Automation Testing; Manual Testing; Agile/Scrum Methodology; Project Demo; Training duration: 2.5 months,Negotiable,"['qc', 'manual', 'automation', 'tester']","SCETPA Building, 19A Cong Hoa, Ward 12, Tan Binh District, Ho Chi Minh City",Fulltime,https://salt.topdev.vn/RmO4itbR7ZX-n9hK1TXLHMdIThW8YZ151VCtBlXLLrM/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIwLzA3LzI0L2xvZ29Xd0h3aWJkRlF6WlZTTVdnVFJqVTM0SWV5Z0k3V3lzYi1KYzNzai5wbmc,https://topdev.vn/viec-lam/quality-control-training-program-qctp-cyberlogitec-vietnam-co-ltd-2033121
Project Manager/BrSE,AKIRA VIETNAM SOLUTIONS JOINT STOCK COMPANY,"For the Project Manager position:; 3+ years of experience managing projects with >=10 people.; Experience managing projects with >=50 people is a plus.; Technical field: Any field you are confident in (security, frontend, Java, etc.).; Experience in software development: developing for a company, developing on demand.; Experience in common development methodologies such as Waterfall, Agile, Prototyping, Spiral, etc.; The following specialized experiences are a plus:; Basic software/application packaging (eg, SAP, Salesforce, Microsoft Dynamics, etc.).; Cloud infrastructure construction.; Certifications: not required. However, having certifications that demonstrate/validate your experience is a plus (eg, PMP, PM).; For the Software Engineer position:; Software development experience.; Minimum of 3 years, preferably 5 years or more, of experience in software development.; Proficiency in 3 or more languages and at least 2 frameworks. Note: Java/Java EE is required.; Good at one area of system development: Business application development, package development, frontend, mobile app, etc.; Knowledge of cloud infrastructure (AWS is a plus if possible).; Certifications:; Information Processing Engineer (experience passing the advanced certification exam: 1 or more certifications).; Vendor certification.; Mindset:; Ability to listen to the other party, lead and coordinate meetings.; Problem-solving ability.; Ability and willingness to work with Vietnamese people (We are an offshore company in Vietnam).; Receptive to cultural differences between Vietnam and Japan is a prerequisite.",Negotiable,"['java', 'project']","19 Duy Tan, Dich Vong Hau Ward, Cau Giay District, Hanoi City",Fulltime,https://salt.topdev.vn/RFjGGsnux4oU6lXA1VXo1OwM2omhgtkwQhM5W1B7Sag/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDI0LzAzLzEzL1RvcERldi1NOUhTckFqMGdkMVpRMmQ4LTE3MTAzMTgxMTUucG5n,https://topdev.vn/viec-lam/project-manager-brse-cong-ty-co-phan-giai-phap-akira-viet-nam-2032882
Back-end Developer (NodeJS),Eduvator,"Design and architect software features; Working with managers and team members understand the features and implementation of the website; Working with IT team to come up with new ideas and features to develop and improve internal product; Write clean code to develop functional APIs; Build reusable code and libraries for future use; Troubleshoot and debug applications; Optimization of the application for maximum speed and scalability; Implementation of security and data protection; Set up and maintain project wiki/documentation.At least 2 years of experience; Has experience in NodeJS, and familiar with ExpressJS. Apollo Server is an advantage.; Has good knowledge of SQL, NoSQL database, ability to write complex queries. MongoDB is an advantage.; Is comfortable or familiar with Docker.; Has good problem-solving skills and is well versed in string / array manipulation.; Good knowledge of git source control.; Can learn new technology quickly.; University Graduated, majoring in Computer Science, Information Technology. Especially graduated from University of Science, University of Information Technology - VNUHCM, Bach Khoa University, .. is a plus.",Negotiable,"['nodejs', 'cd', 'graphql', 'ci']","308 Tran Phu, Ward 08, District 5, Ho Chi Minh City",Negotiable,https://salt.topdev.vn/zjYnRAhk-sulAW0sdyUqulp_JaBVMXfn0fs8YgePJdM/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIyLzAxLzE4L1RvcERldi1FZHV2YXRvci1Mb2dvLTE2NDI0ODg1MTQuUE5H,https://topdev.vn/viec-lam/back-end-developer-nodejs-eduvator-2032880
Specialist/Senior Specialist BackEnd application development,VPBANK SECURITIES JOINT STOCK COMPANY,"Responsible for ensuring success in specific activities and jobs with the functions and responsibilities assigned/expected by direct Management.; Instruct colleagues within the unit and outside the unit on how to use Agile methods to execute work.; Periodically report and update the status of assigned tasks; Research and evaluate new technology. Contribute ideas and solutions not only in terms of technology but also in terms of products.Academic level:; Graduated from University or higher or have equivalent degrees from reputable information technology training units.; Related Knowledge/Expertise:; Proficient in using one of the database management systems Mysql, Oracle, Sql server; Understanding Java Core.; Have experience using Springboot framework; Understanding of SOAP/Restful webservices, JSON message standards, OOP, XML, Design partern, web server...; Have basic knowledge about system, Network, OS (Window, Linux ..); Proficient in using development IDEs; Good use of source code management and work management tools.; Understanding of cache (redis, memcache,..), MessageQueue (Rabbit, ActiveMQ..) is an advantage; English to read and understand documents  ; Knowledge of project implementation with different methods such as agile, water-fall, Kanban... ; Key Skills:; Work independently/in groups. Have communication skills to work in groups and related departments.; Plan, execute, and manage assigned work; Ability to synthesize, analyze and evaluate problems/requirements.; Withstand work pressure.; Proactivity and work-accepting attitude through the ""can-do"" spirit!; Relevant Experience; Build a complete bacnend app, modularizing highly abstract feature groups.; Experience working on banking and financial applications/systems.; Required Competencies; Able to think logically; Evaluate and solve problems; Plan, organize work, coordinate with internal team as well as external team.",Negotiable,"['boot', 'java', 'spring']","25th Floor, VPBank Building 89 Lang Ha, Dong Da District, Hanoi City",Fulltime,https://salt.topdev.vn/a2-fN54L1f9bnhPy4ezvGJlrS2Y4Z9jfhk0MbpmGONc/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIyLzA1LzEwL1RvcERldi1NaWNyb3NvZnRUZWFtcy1pbWFnZTItVG5nTmd1eW5YdW4tMTY1MjE0NzYzNy5wbmc,https://topdev.vn/viec-lam/chuyen-vien-chuyen-vien-cao-cap-phat-trien-ung-dung-backend-cong-ty-co-phan-chung-khoan-vpbank-2032910
Senior Java Developer,SoftRoad Vietnam,"Do the Coding and debugging tasks.; Self-testing by test tool to ensure the code quality.; Able to independently write a design specification that meets the requirements (for senior DEV level); To perform other tasks assigned by the Line Manager, Project Manager & Technical ManagerGood knowledge of OOP, and Java core; Good knowledge of Spring, Spring MVC, and Spring boot framework; Good research skills and Debugging; Basic knowledge of testing; At least 4 years of Java experience, and ability to work independently; Work hard, good work attitude, and good stability; English/Japanese reading skill, being able to speak in English/Japanese is a big plus",Negotiable,"['core', 'boot', 'java', 'spring']","14th Floor, Richy Tower, Yen Hoa Ward, Cau Giay District, Hanoi City",Fulltime,https://salt.topdev.vn/BqP10Hya2BkK46Tu17Zo61jRF8pJWBW7uz46nMhlks0/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIyLzEyLzA2L1RvcERldi0xMTgxMTg2NzEzNTM3MTQzNjgyOTk3NTU1NTE5MzMxMjU0NDE4NTQ5MDc2N24tMTY3MDMwMzEyMy5qcGc,https://topdev.vn/viec-lam/senior-java-developer-softroad-viet-nam-2032876
Fullstack JavaScript Developer,"CyberLogitec Vietnam Co., Ltd.","Working with team members to develop new features and maintain products; Designing customer-facing UI and back-end services for various business processes; Troubleshoot & solve issues ; Research & apply new technology to product; Writing reusable, testable, and efficient code; Support and improve software during operation; Need to learn the basics of the project's business and DB structure to work.Bachelor's Degree or Diploma, major in Information Technology.; 4+ years of developer experience.; Experience with ReactJS/NextJS, NodeJS/NestJS; Willing to learn or work as Fullstack Developer ; Proficient understanding of code versioning tools; Having good programming, analysis, communication & teamwork skills.; Be able to work under high-pressure ; Careful, passionate and have high sense of responsibility",Negotiable,"['nodejs', 'reactjs', 'nestjs', 'javascript', 'nextjs']","SCETPA Building, 19A Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",Fulltime,https://salt.topdev.vn/RmO4itbR7ZX-n9hK1TXLHMdIThW8YZ151VCtBlXLLrM/fit/384/1000/ce/1/aHR0cHM6Ly9hc3NldHMudG9wZGV2LnZuL2ltYWdlcy8yMDIwLzA3LzI0L2xvZ29Xd0h3aWJkRlF6WlZTTVdnVFJqVTM0SWV5Z0k3V3lzYi1KYzNzai5wbmc,https://topdev.vn/viec-lam/fullstack-javascript-developer-cyberlogitec-vietnam-co-ltd-2032736
